typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","434","LBY","Libya","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","201245900","false","7","l","201245900","false","201245900","false","163634.1","false","112996357.891","105459730.95","112996357.891","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","458","MYS","Malaysia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3565828100","false","7","l","3565828100","false","3565828100","false","2868608","false","2093278243.954","1997646441.439","2093278243.954","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","554","NZL","New Zealand","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","332797700","false","7","l","332797700","false","332797700","false","270581.7","false","181399676.934","175449383.853","181399676.934","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","566","NGA","Nigeria","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","240412500","false","7","l","240412500","false","240412500","false","196876.8","false","132613468.794","126382857.789","132613468.794","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","704","VNM","Viet Nam","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1027016300","false","7","l","1027016300","false","1027016300","false","847422.2","false","616834535.763","586984980.718","616834535.763","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","784","ARE","United Arab Emirates","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","536457000","false","7","l","536457000","false","536457000","false","438674","false","314948624.672","296543903.159","314948624.672","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","M","Import","842","USA","USA","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1565156399.46","false","7","l","1565156399.46","false","1565156399.46","false","0","false","891684188.573","847589775.515","891684188.573","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","7668799862","false","8","kg","7668799862","false","7668799862","false","0","false","4824818484.738",,"4824818484.738","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","12","DZA","Algeria","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","180448000","false","8","kg","180448000","false","180448000","false","0","false","113648754.434",,"113648754.434","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","31","AZE","Azerbaijan","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","313447000","false","8","kg","313447000","false","313447000","false","0","false","199311924.553",,"199311924.553","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","76","BRA","Brazil","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","29621000","false","8","kg","29621000","false","29621000","false","0","false","18511265.696",,"18511265.696","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","251","FRA","France","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","55672","false","8","kg","55672","false","55672","false","0","false","909290.506",,"909290.506","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","276","DEU","Germany","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3277550","false","8","kg","3277550","false","3277550","false","0","false","1522400.588",,"1522400.588","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","288","GHA","Ghana","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","37662000","false","8","kg","37662000","false","37662000","false","0","false","25042572.362",,"25042572.362","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","328","GUY","Guyana","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","275058000","false","8","kg","275058000","false","275058000","false","0","false","168458612.175",,"168458612.175","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","368","IRQ","Iraq","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","245856000","false","8","kg","245856000","false","245856000","false","0","false","144399538.324",,"144399538.324","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","376","ISR","Israel","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","45362000","false","8","kg","45362000","false","45362000","false","0","false","28044002.554",,"28044002.554","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","398","KAZ","Kazakhstan","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4281050000","false","8","kg","4281050000","false","4281050000","false","0","false","2724233140.455",,"2724233140.455","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","434","LBY","Libya","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1058710000","false","8","kg","1058710000","false","1058710000","false","0","false","689645741.232",,"689645741.232","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","579","NOR","Norway","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","139285000","false","8","kg","139285000","false","139285000","false","0","false","84730666.881",,"84730666.881","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","682","SAU","Saudi Arabia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","925840000","false","8","kg","925840000","false","925840000","false","0","false","538372993.903",,"538372993.903","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","703","SVK","Slovakia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1156640","false","8","kg","1156640","false","1156640","false","0","false","670667.828",,"670667.828","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","M","Import","788","TUN","Tunisia","0","W00","World","H6","HS","true","2709","Petroleum oils and oils obtained from bituminous minerals; crude","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","54122000","false","8","kg","54122000","false","54122000","false","0","false","35967337.082",,"35967337.082","0","false","true",
