source,target,weight,year
CHE,CMR,2140684.0,1988
CHE,DZA,58662548.0,1988
CHE,AUT,1983.0,1988
CHE,DEU,23055.0,1988
THA,BRN,167248488.0,1988
THA,CAN,7416792.0,1988
THA,KWT,49600359.0,1988
THA,MYS,163801527.0,1988
THA,OMN,71930755.0,1988
THA,QAT,46466033.0,1988
THA,SAU,102681438.0,1988
THA,ARE,226586471.0,1988
THA,EGY,16442828.0,1988
JPN,YEM,54080061.0,1988
JPN,EGY,99662053.0,1988
JPN,ARE,3763665560.0,1988
JPN,SUN,5604817.0,1988
JPN,AGO,72477447.0,1988
JPN,AUS,30848739.0,1988
JPN,BRN,264687491.0,1988
JPN,CHN,1601175819.0,1988
JPN,IDN,2584358918.0,1988
JPN,IRN,1079231044.0,1988
JPN,IRQ,824401466.0,1988
JPN,KWT,763581624.0,1988
JPN,MYS,493268290.0,1988
JPN,MEX,938737271.0,1988
JPN,OMN,1547862114.0,1988
JPN,QAT,992754593.0,1988
JPN,SAU,3256351589.0,1988
JPN,VNM,50552074.0,1988
JPN,KOR,84500.0,1988
IND,IRN,74992608.0,1988
IND,IRQ,91944776.0,1988
IND,KWT,96455296.0,1988
IND,MYS,40519312.0,1988
IND,SAU,975938944.0,1988
IND,ARE,515317120.0,1988
IND,SUN,84726560.0,1988
IND,EGY,45242340.0,1988
AUT,DEU,4000.0,1988
DEU,AGO,251916992.0,1988
DEU,BEL,6000.0,1988
DEU,CMR,9642000.0,1988
DEU,COL,12693000.0,1988
DEU,COG,23591000.0,1988
DEU,CUB,2722000.0,1988
DEU,FRA,146000.0,1988
DEU,GRC,5499000.0,1988
DEU,IRN,274668992.0,1988
DEU,IRQ,157696000.0,1988
DEU,ITA,10699000.0,1988
DEU,KWT,11655000.0,1988
DEU,LBY,1425694976.0,1988
DEU,MEX,14480000.0,1988
DEU,NLD,4843000.0,1988
DEU,NGA,585603008.0,1988
DEU,DZA,694457984.0,1988
DEU,QAT,3318000.0,1988
DEU,NOR,659990016.0,1988
DEU,SAU,536672000.0,1988
DEU,YMD,51249000.0,1988
DEU,SYR,100006000.0,1988
DEU,ARE,35976000.0,1988
DEU,SUN,631904000.0,1988
DEU,GBR,2248956928.0,1988
DEU,VEN,524062016.0,1988
DEU,EGY,18725000.0,1988
DEU,YEM,145010000.0,1988
DEU,CHE,3722.0,1988
BEL,DEU,1000.0,1988
GRC,EGY,14975170.0,1988
GRC,SUN,124358176.0,1988
GRC,SAU,19942408.0,1988
GRC,DZA,19713802.0,1988
GRC,IRN,13031340.0,1988
GRC,IRQ,36933112.0,1988
GRC,KWT,47016340.0,1988
GRC,LBY,156630320.0,1988
GRC,OMN,41695956.0,1988
NLD,DEU,2449000.0,1988
FIN,SUN,905658368.0,1988
FIN,SAU,58095392.0,1988
CHN,CHE,547.0,1988
NZL,AUS,57367964.0,1988
USA,CHE,679.0,1988
USA,AUS,267081279.0,1988
USA,DEU,9000.0,1988
BGR,CHE,2738.0,1988
DNK,CHE,961.0,1988
GIN,CHE,3909.0,1988
LBN,CHE,534.0,1988
MMR,AUS,15645732.0,1988
HKG,AUS,15921816.0,1988
PHL,AUS,47270991.0,1988
MDV,DEU,1000.0,1988
AUS,BHR,5248691.0,1989
AUS,BRN,17482587.0,1989
AUS,CHN,6388816.0,1989
AUS,IDN,158407036.0,1989
AUS,JPN,1215.0,1989
